ced_id,total_m,total_f,total_p,age_20_34,age_35_54,age_55_74,age_75_over,age_75_over,indigenous_m,indigenous_f,indigenous_p,birth_aus,birth_oth,lang_eng,lang_oth,aus_citizen
CED404,86860,84624,171485,27486,40167,48206,29219,29219,6215,6433,12647,140896,17254,148871,9597,153034
CED405,84066,88465,172532,34521,44767,41495,27801,27801,1653,1710,3365,121251,45196,126449,39957,151919
CED406,81370,84740,166105,30596,43271,40167,22704,22704,1510,1602,3107,122856,37292,146082,14170,150520
CED407,86318,87443,173757,34493,45714,37923,24987,24987,1520,1518,3041,116701,51897,126383,40772,151559
CED408,85054,88675,173735,23899,42835,49578,31018,31018,1114,1099,2209,135752,29769,158912,7369,159130
CED409,93202,95019,188227,40742,46772,36995,20278,20278,3301,3379,6687,132059,45892,142501,35418,163268
CED410,90636,96716,187354,36098,49017,41152,33472,33472,754,789,1536,118454,63408,124276,57405,156096
CED494,1873,1506,3377,833,1012,872,139,139,203,180,384,2262,530,2261,314,2335
CED497,12,0,12,0,8,0,0,0,0,0,0,0,4,0,8,0
CED501,90571,90975,181547,37310,49657,33307,17537,17537,3033,2585,5620,114433,57225,149187,20865,150175
CED502,90718,91615,182330,38438,51217,31752,16331,16331,2657,2815,5472,99993,72732,116105,55709,145358
CED503,78193,81752,159946,25686,39231,40330,26501,26501,2166,2214,4385,109788,41184,138997,11547,138477
CED504,89247,90932,180177,38418,47646,38632,22209,22209,1802,2066,3868,99194,72464,108238,62443,148328
CED505,83620,89421,173040,34184,46521,35752,26354,26354,635,654,1290,108861,57136,136913,28698,146376
CED506,104921,96523,201445,40094,56579,42901,17635,17635,15315,15381,30699,140928,33351,151157,21894,159984
CED507,77818,80181,157999,23893,42176,39468,22090,22090,2160,2176,4339,117275,31246,136986,11256,137368
CED508,81582,85202,166782,34762,47825,34038,18472,18472,1474,1510,2990,105368,53933,127670,31209,142403
CED509,87342,87397,174739,33942,48692,34400,18762,18762,3127,2646,5770,113433,53729,135282,29311,148558
CED510,81170,82942,164113,25340,45195,41120,19345,19345,688,642,1326,99039,60312,141710,17418,145661
CED511,90288,85785,176071,28948,44675,46100,24880,24880,5109,4913,10018,127509,30751,145037,13141,145935
CED512,87063,90442,177513,36059,51318,29724,14756,14756,1503,1565,3070,97994,72404,138285,31434,149505
CED513,90157,91775,181928,49630,52692,34394,20819,20819,1096,1142,2232,103698,68349,126392,45189,144343
CED514,95172,94696,189872,51088,50799,35510,20854,20854,2048,2088,4141,105200,73912,124871,53251,145021
CED515,89890,94068,183959,31162,50389,41419,25478,25478,1070,901,1971,101178,77326,121643,55133,151923
CED594,4639,3416,8055,2074,2856,1902,340,340,819,683,1495,4775,1431,4079,486,3943
CED597,455,58,514,147,279,80,0,0,7,3,9,151,148,232,66,216
CED601,53949,56024,109977,21520,26361,27315,17510,17510,2090,2269,4356,87158,16698,94958,9380,96439
CED602,53421,56132,109556,18294,25719,30170,19050,19050,4528,4832,9361,91208,11307,99113,4341,99003
CED603,54689,57059,111750,28569,27477,24054,15305,15305,1807,1909,3721,78772,28046,85174,21543,89663
CED604,54604,57234,111833,20221,28098,27967,17428,17428,3017,2918,5934,88529,18368,97140,9535,98606
CED605,56331,56733,113067,18726,27093,32510,16927,16927,3225,3441,6660,94156,11092,102497,3808,102452
CED694,758,616,1377,347,401,362,65,65,93,64,150,973,161,978,74,985
CED697,13,0,19,4,11,0,0,0,0,0,0,6,6,11,0,6
CED701,61863,59140,121004,29982,33588,19728,4977,4977,24415,24324,48745,93143,17240,61412,46293,100268
CED702,55064,55222,110288,28329,31664,18643,6550,6550,5229,5868,11095,67397,33785,70784,29619,84460
CED794,1826,1675,3500,844,1164,897,105,105,658,617,1276,2106,492,1605,551,2256
CED797,83,15,99,29,41,17,0,0,10,0,9,56,22,63,11,61
CED801,75080,77528,152610,31139,41607,32246,17911,17911,1944,1858,3800,109931,37692,116516,30360,136407
CED802,71449,74059,145507,42014,37233,26248,17106,17106,1020,1035,2050,96554,41656,105717,32031,122022
CED803,78697,79572,158267,38953,47208,23268,11276,11276,1652,1618,3267,101597,51771,102568,49988,133117
CED894,336,273,605,190,181,112,24,24,26,20,44,384,121,400,81,417
CED897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED994,6,4,11,4,0,3,0,0,3,0,4,12,0,5,5,12
CED997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
