ced_id,job_science,job_infotech,job_engineering,job_architect_constr,job_agriculture,job_health,job_education,job_commerce,job_society_culture,job_creative_arts,job_food_hospitality,job_mixedfield,job_pos_manager,job_pos_professional,job_pos_technician,job_pos_community_service,job_pos_admin,job_pos_sales,job_pos_mach_operators,job_pos_labourer,jobs_pos_total
CED306,1038,619,12486,3280,1126,6101,4554,8534,5265,1009,3530,61,5960,11592,10898,6366,4968,2373,3704,3392,50086
CED307,1579,2057,9381,3984,1044,7019,5197,12766,7663,2258,3016,55,8397,17080,9091,7147,7738,3030,2043,2701,58054
CED308,1237,1741,8811,4884,930,8100,4718,14589,8115,2310,4775,73,8538,15426,10180,8548,7478,4901,2780,4045,63023
CED309,1251,1175,7556,4989,1472,8580,5390,11062,7217,2344,3869,64,7605,16058,9432,7843,6352,3542,1907,3591,57258
CED310,1246,1004,7855,5018,1323,8758,5235,10618,7199,1955,3907,88,7244,15483,9559,7965,6334,3490,2031,3637,56593
CED311,669,494,12346,2528,1804,4217,4446,6799,4002,549,2708,59,5402,8177,9747,5081,4185,1934,4298,3623,43375
CED312,1007,1788,9577,4793,951,6146,4806,12461,7884,1790,4117,76,6580,11961,10688,8453,7512,3579,3712,4393,58008
CED313,3422,3697,9411,4164,950,11246,5356,21102,11904,5502,3107,109,13828,35383,7341,7034,9275,3804,1625,3019,82465
CED314,1003,1103,8392,3097,1858,7546,5221,9562,6641,1256,3284,72,5953,14192,8348,7492,5972,2693,2144,3499,51004
CED315,1614,943,9371,3103,910,7862,4680,9150,7564,1175,3390,90,5654,14214,8909,8721,5852,2496,2578,2861,52117
CED316,535,544,5826,2514,1035,5873,3965,6301,5535,658,2731,39,3894,9177,6049,6836,3831,2168,1684,3195,37418
CED317,910,498,10399,3187,1947,5066,4881,7019,5054,716,2964,60,5961,9405,8998,6250,4721,2106,3100,4107,45563
CED318,1574,830,8839,3627,1367,8223,5393,10225,7772,1640,4405,66,6893,15665,9116,8953,6029,3161,2289,3722,56806
CED319,1907,2876,8609,3669,824,8427,4834,15508,8323,3128,3227,78,9141,22201,8058,6898,8162,3131,2065,3005,63613
CED320,831,1273,8845,4251,1211,5630,4353,9983,7570,1254,3761,96,5493,9544,9729,8470,6540,3266,3036,4610,51620
CED321,561,380,7318,2360,3235,4574,4457,6523,4293,557,2688,54,6936,7538,6499,5027,4104,1900,2326,4189,39222
CED322,1120,1206,6665,5253,909,8234,5250,13252,7502,2948,3987,46,8255,17680,8829,7653,6569,3988,1536,3079,58666
CED323,1315,1614,6771,4748,854,8662,4366,15663,8217,3007,5241,98,8669,17087,9184,8737,6782,4944,2124,4502,63247
CED324,2967,3852,8392,2896,836,8611,4623,15742,8619,3471,2682,92,8343,25375,6864,6420,7346,3473,2535,3609,65082
CED325,2050,2751,9288,2649,769,7093,4478,13700,8043,1881,3230,110,6963,17096,7921,8044,7414,3046,3365,3722,58605
CED326,1328,2498,8982,3645,835,7875,4821,13278,8282,1891,3796,82,7311,16046,8927,8909,7824,3363,2866,3589,59847
CED327,1255,2514,8194,3073,633,5733,4117,12715,7312,1704,3078,111,5368,12939,8014,7616,7016,3263,3881,4036,53154
CED328,4008,3497,8578,3162,1068,8884,5037,15658,10128,3824,2028,72,11547,30820,5371,5750,7224,2957,1130,2095,67726
CED329,705,481,6281,3121,1515,4681,3877,7030,5185,1243,3159,44,5395,8749,6776,5920,4185,2523,1840,3251,39378
CED330,1052,1090,10325,4709,1766,6109,5017,10562,6896,1547,3515,82,7503,11545,10788,7286,6674,2977,3142,4395,55381
CED394,59,61,351,151,60,245,114,431,328,126,146,3,210,448,278,310,181,120,161,430,2209
CED397,0,0,13,6,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,11,24
CED401,3278,4010,9271,3353,974,11735,4996,18118,10621,3958,3659,70,10212,29180,8154,9041,8456,3748,2445,4215,76591
CED402,1024,513,8347,2527,3604,5282,4359,7658,5985,867,3267,47,7631,8851,7769,6765,4591,2537,2248,4811,45923
CED403,2739,2297,7765,3320,1115,10760,5612,14712,9541,2879,2725,44,9528,24877,7405,8306,7281,3093,1441,2676,65535
CED404,576,441,9156,2358,2691,5513,4519,6321,5482,646,2743,36,6595,8835,7727,6551,4051,1982,2790,3520,42832
CED405,1878,2094,9183,3362,848,7609,4818,13329,8163,2273,3306,70,8115,17710,8605,7879,7465,3024,2269,3122,59112
CED406,1353,1527,8441,3598,1173,6951,4401,10129,8526,1724,3394,71,5879,12929,9676,9067,6875,2912,1997,3090,53258
CED407,1618,2479,9740,2977,968,6826,4374,11549,7409,1568,3140,65,6046,13887,9229,8678,7101,2843,2694,3439,54847
CED408,2081,1090,8120,3609,2657,8056,5269,10077,8114,2231,3064,36,9146,16530,8841,7351,6148,2799,1720,3227,56544
CED409,825,1313,8005,2285,999,5228,3142,8562,7677,1033,3097,76,4085,7825,7909,8691,5521,2650,3003,4030,44580
CED410,2881,3362,8601,3234,925,10771,5543,17367,9454,3081,2830,54,10222,27977,7106,7389,8241,3394,1848,3098,70193
CED494,11,9,79,32,11,73,22,92,69,19,30,0,47,114,76,58,42,28,33,71,489
CED497,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
CED501,1311,1564,13109,3312,989,6123,4921,9517,6883,1451,3910,81,5560,11134,12680,9001,6058,2888,3861,3815,55868
CED502,1728,2403,11917,2654,841,6121,4030,11125,6490,1575,3762,89,4885,12531,10694,8264,6543,2974,4335,4198,55366
CED503,1026,820,10682,2967,1178,4910,4426,7293,5146,1014,3078,69,5064,8856,10287,6364,4717,2342,3380,2869,44654
CED504,2131,2183,10087,3529,764,6212,4556,12088,6879,2111,3831,82,5874,14690,10094,8048,6857,3283,3218,4092,57115
CED505,4583,1777,9587,3431,1114,12327,5274,17508,9969,3142,1953,76,13090,34052,5562,5667,6802,3062,1234,2340,72787
CED506,1341,630,15165,3842,2485,6225,6088,9097,5648,1255,3376,70,7861,12282,13231,6782,5960,2354,4607,4486,58672
CED507,1419,768,10088,3635,1943,5980,5361,7980,5408,1414,3350,75,5882,11248,10710,6336,4815,2683,3135,4165,49708
CED508,2895,1734,12027,3498,1303,8559,5774,12065,7964,2965,3223,68,8703,22082,10565,7132,6929,2838,2375,2991,64532
CED509,2013,1693,12435,3047,1192,6373,5334,11096,6946,1988,3712,77,7299,14276,11200,8013,7087,3035,3591,3084,58502
CED510,2439,1848,11360,4541,984,7793,6521,13364,6763,2157,2772,50,9803,20994,9976,6702,7430,2932,1725,2295,62677
CED511,1355,548,10977,2738,3671,5393,5366,7076,4824,1119,2899,73,7972,9808,9775,5670,4565,2115,3838,4045,48544
CED512,1537,2028,11512,4616,896,7077,5075,11790,7296,1792,4206,84,6986,14127,12078,8746,7418,3351,3185,3698,60559
CED513,4119,3225,11870,3743,1114,9491,5461,18489,10978,4988,3748,75,11442,32012,9126,8125,8562,3676,2313,3671,79939
CED514,3576,3214,13411,3244,1133,8683,4745,16947,8495,2903,4192,93,8957,24166,10600,8575,8226,3692,3799,4330,73548
CED515,3468,2846,12655,2731,981,9343,5664,16430,7110,2333,2648,51,9958,26532,8181,6543,8028,3340,2232,2713,68438
CED594,37,14,245,77,26,125,64,190,144,63,81,6,80,233,220,161,97,42,89,176,1126
CED597,8,0,110,16,0,3,0,6,12,3,20,0,4,33,67,9,3,0,18,60,199
CED601,788,930,4913,2261,1164,4734,3129,6378,4115,1063,2199,36,4291,9191,5131,4949,3328,1753,1605,2390,33142
CED602,488,518,5492,2209,1232,3491,2838,5242,4111,546,2182,23,3916,6483,5428,4763,2931,1525,1746,2659,29935
CED603,2178,2204,3929,1987,868,5492,3040,10258,6271,2075,2083,53,5396,14574,5085,5964,4380,2227,1235,2560,42085
CED604,1611,1384,4690,2744,1131,4509,3392,8085,5346,1395,2118,41,5562,11705,5771,4991,4420,1722,992,2082,37845
CED605,628,546,4994,2633,1797,3293,2395,5542,4042,741,2302,28,4601,5865,5854,4622,3577,1506,1578,2470,30640
CED694,3,5,42,11,3,27,14,21,30,9,11,0,12,45,34,22,20,10,7,28,181
CED697,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,9
CED701,680,590,5649,1823,1370,4190,3212,5507,4643,731,1856,47,4662,8291,5329,5452,3750,1142,1246,1920,32483
CED702,1237,1682,6573,1818,902,5934,3545,10111,6082,1145,2286,56,5996,13082,6192,6299,5425,2015,1448,2093,43288
CED794,16,9,58,17,8,54,29,57,49,15,23,0,44,104,33,42,35,18,16,73,378
CED797,0,0,26,3,0,0,0,0,0,0,5,0,0,14,6,6,0,0,0,15,40
CED801,2745,5004,6103,3075,1016,6702,4311,12988,10786,2566,2446,36,11412,21076,6556,5783,8832,1991,1183,1806,59850
CED802,4561,4714,4525,2094,1225,5643,3713,13142,18398,3669,1545,54,14966,28718,3884,4888,7284,1989,681,1766,65549
CED803,3173,7176,6044,3007,1063,5441,4690,15992,11388,2715,2959,46,11594,22556,7123,7431,9536,2815,1415,2285,66105
CED894,6,3,11,6,0,13,5,22,32,13,10,0,21,46,19,19,20,11,0,7,138
CED897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED994,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,3
CED997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
