ced_id,total_m,total_f,total_p,age_20_34,age_35_54,age_55_74,age_75_over,indigenous_m,indigenous_f,indigenous_p,birth_aus,birth_oth,lang_eng,lang_oth,aus_citizen,median_age,median_mortgage_mtly,median_income_mtly,median_rent_mtly,avg_household,edu_highschool,edu_tertiary,edu_adv_diploma,edu_bachelors,edu_postgrad,job_science,job_infotech,job_engineering,job_architect_constr,job_agriculture,job_health,job_education,job_commerce,job_society_culture,job_creative_arts,job_food_hospitality,job_mixedfield,job_pos_manager,job_pos_professional,job_pos_technician,job_pos_community_service,job_pos_admin,job_pos_sales,job_pos_mach_operators,job_pos_labourer,jobs_pos_total,rel_buddhism,rel_christianity,rel_hinduism,rel_islam,rel_other,rel_secular_spiritual,rel_none,electoral,state,division_id,yes_votes,no_votes,total_votes
CED120,85432,86665,172094,31155,44283,37782,20856,3595,3555,7151,141604,22194,150163,13200,156972,38,2167,3705.0,1733.0,2.8,60701,36459,13300,15247,7040,1088,1071,10149,5130,1882,5691,5835,10899,7341,1557,2978,56,8758,12557,10366,7048,7123,2871,3117,3126,55893,1319,101903,1118,1855,813,53896,11086,Hume,NSW,125,25338,70079,95417
CED121,87036,87384,174420,32192,42562,40757,26319,7278,6751,14028,149063,17018,156851,7486,158742,40,1748,3163.0,1517.0,2.6,52816,40689,11829,13178,5468,923,835,12186,3306,1331,5919,4175,9778,5979,1187,3427,50,5860,10728,10818,7089,5930,2574,4371,3105,51283,1212,89457,847,626,611,68963,12635,Hunter,NSW,126,29276,72195,101471
CED122,89527,92410,181933,51110,50188,31916,21347,1696,1697,3388,94444,78407,108550,62272,135571,36,2870,4515.0,2383.0,2.4,110545,19211,14714,39962,22144,3087,3429,8369,4344,778,7935,4389,21251,10414,5087,2746,79,12940,29145,7669,5887,8737,4087,1959,2869,74553,5909,85707,2917,4939,754,62577,13467,Kingsford Smith,NSW,127,46221,37072,83293
CED123,92631,95216,187851,41750,50932,33798,17002,4908,4969,9879,134364,43044,140101,35601,162174,35,2167,3753.0,1712.0,2.7,71280,33978,13107,17612,8468,1314,2476,9551,3992,994,5923,4819,13286,7441,1904,3066,58,7178,13887,9107,7260,8597,3021,4033,3105,57189,2141,99724,6702,5181,3071,56675,14282,Lindsay,NSW,128,29884,65674,95558
CED124,76884,80459,157347,18592,33295,51145,36881,5224,5341,10569,132040,14783,143609,4348,144184,51,1625,2600.0,1408.0,2.3,47116,35597,11657,12691,5186,656,537,6822,3380,1598,5739,4107,6990,5150,903,2698,35,5482,9597,7141,6271,4473,2248,1893,2799,40566,937,85109,387,281,533,58014,11981,Lyne,NSW,130,26017,73649,99666
CED125,101285,104213,205501,45073,55186,36267,15210,3737,4106,7841,130554,65264,126911,67186,175801,34,2200,3493.0,1733.0,3.0,85383,32479,15153,21691,10470,1528,3391,9522,3435,747,6463,5108,14687,7767,1751,2951,65,7235,15729,8698,7644,8645,3555,4015,3314,60005,4978,106170,11391,20059,3408,46243,13163,Macarthur,NSW,131,36421,67143,103564
CED126,75968,79420,155387,22854,42681,35727,27168,602,510,1117,107435,43166,126909,22912,136816,43,3033,4411.0,2600.0,2.7,84391,22573,15486,29097,12657,2074,2198,6783,4654,1172,5587,4726,16603,7406,3882,2242,26,13041,19710,7372,4940,6915,3309,1300,1887,59338,2230,76875,1416,757,864,64879,7875,Mackellar,NSW,132,43454,41697,85151
CED127,71325,74011,145330,23626,37644,36729,20615,2661,2696,5358,117229,22544,129796,9827,133055,42,2167,3631.0,1733.0,2.6,62201,28313,12882,18598,11098,1467,1217,7517,4025,1675,5367,5844,9147,7271,2763,2284,42,7599,15175,8311,5771,6150,2274,2005,2358,50383,1520,72983,697,608,1068,60031,8194,Macquarie,NSW,133,37317,47846,85163
CED128,87426,88217,175649,36410,45404,35685,18990,1114,1230,2344,86231,79034,68913,94350,138679,36,2167,2609.0,1777.0,3.1,71328,22160,11823,17105,6252,1263,2160,6218,2414,367,3599,2944,10289,4829,1175,1686,37,4646,10078,5663,4312,6338,2181,2512,2178,38749,9229,97938,4926,24206,2121,24405,12781,McMahon,NSW,315,26638,50784,77422
CED129,92376,95838,188212,30502,57995,35094,20144,565,569,1134,106496,77622,107097,75950,159513,38,2990,4446.0,2427.0,3.1,106081,20540,15759,38225,21913,2921,6621,10263,3343,746,7484,5469,22630,7784,2679,2204,48,14690,29022,6697,5198,10394,3921,1554,1837,74401,5819,95353,15606,8943,4040,50669,7575,Mitchell,NSW,134,38465,54541,93006
CED130,77752,80894,158649,26908,36233,40017,27264,8045,8361,16409,130246,14513,136639,8717,138212,42,1400,2990.0,1213.0,2.4,51766,30141,9685,13693,6619,1069,604,6787,2837,3221,6001,4836,8003,5783,993,2592,61,7221,11093,6749,5922,4938,2257,2264,3861,44940,997,88592,1178,809,1417,50150,15425,New England,NSW,135,22517,69167,91684
CED131,81680,84482,166162,40595,42196,33907,21037,3455,3573,7026,134058,24893,140700,17670,147916,37,2000,3757.0,1733.0,2.4,79212,27880,12436,27375,13257,2044,1610,9164,3761,1065,10089,5630,12237,8416,3152,2932,44,7993,23937,8046,7207,6958,2762,2032,2413,62114,1794,72700,1845,2802,869,75893,10106,Newcastle,NSW,136,50627,42586,93213
CED132,80375,86835,167209,35021,51255,32691,21106,313,292,606,93694,67639,110241,50150,134902,39,3033,6075.0,2431.0,2.3,112482,10716,12842,48397,29315,3301,5089,6918,2800,694,7826,3715,26233,12586,4925,1752,30,17886,37179,3997,3718,8451,3703,689,1164,77990,5246,70980,5184,1987,1067,71280,9899,North Sydney,NSW,137,48651,31969,80620
CED133,83408,85376,168784,24651,39505,49358,29561,5668,5535,11198,139193,16823,148134,7771,150598,46,1517,2752.0,1387.0,2.4,54934,34481,11799,15680,6484,983,677,6369,3296,2286,6268,4941,7947,6632,1562,2953,43,6143,11482,7025,7233,5359,2394,1871,3986,46207,1496,79180,450,422,2536,68413,16165,Page,NSW,138,31795,65603,97398
CED134,76753,78220,154967,28476,35585,37174,23752,12323,13025,25343,125770,10241,129567,7218,131411,39,1300,3263.0,1083.0,2.4,44547,27238,8209,11728,4426,649,542,7523,2326,3144,5421,4841,7625,5003,619,2308,59,7127,9778,6486,5971,4697,1926,2704,2858,42258,743,85752,1610,747,702,45439,19945,Parkes,NSW,139,17547,65491,83038
CED135,103754,99517,203278,56138,57650,32095,16794,799,790,1589,77608,113291,64772,124462,134122,34,2167,3523.0,1820.0,2.7,115565,17260,14875,40204,25510,3009,10274,10978,2298,573,7122,3682,20181,6980,2144,2216,78,8660,27741,6537,6577,9479,4097,3706,3847,72196,6904,71213,40401,21391,4747,42363,16143,Parramatta,NSW,140,32921,38369,71290
CED136,85927,89647,175578,32513,42050,41668,26439,6572,6958,13532,149971,17791,159215,8412,161817,40,1733,3129.0,1582.0,2.5,55202,40053,12856,13262,5400,952,969,10933,3292,1105,5930,4089,10429,6481,1263,3576,44,5742,10908,10350,7803,6437,2751,3318,3091,51207,1103,91659,941,777,898,69916,10203,Paterson,NSW,249,31679,74733,106412
CED137,100054,101763,201820,61996,54431,35513,20747,728,532,1254,88557,104540,81637,109040,139869,35,2500,4151.0,2210.0,2.5,129074,16825,18032,47721,27497,3011,7726,9267,3231,540,8828,4481,26689,9704,4032,2843,85,14132,33095,6882,6085,10546,5128,2054,3844,83408,10807,83594,18175,7452,1267,66669,13600,Reid,NSW,144,41765,39646,81411
CED138,80437,86993,167436,23848,41895,47060,31761,3067,3197,6265,127362,27493,145033,10026,145587,46,1950,3029.0,1863.0,2.4,68189,30687,14182,21434,8774,1128,767,5646,4620,1626,7286,5077,9048,6947,3326,3510,35,7446,14808,8228,7101,5085,2900,1496,3362,51329,2112,69317,996,222,1204,76932,16028,Richmond,NSW,145,41020,52526,93546
CED139,79774,81571,161349,28996,36623,38948,26470,6062,6018,12076,136391,13574,140614,9410,143718,40,1309,3181.0,1127.0,2.4,51493,31224,9822,13787,5321,793,644,7490,3143,3378,6107,5046,8583,5508,1033,2805,83,7811,11428,7481,6537,5086,2296,2301,3202,46823,774,97762,1011,1298,1515,45617,13338,Riverina,NSW,250,23007,70633,93640
CED140,73596,78375,151973,23287,38315,39190,28442,2601,2716,5319,115632,29181,131452,13046,135511,44,2150,3298.0,1733.0,2.4,64310,28640,13376,19522,8747,1218,1499,6024,3818,1133,6568,4349,10679,6579,2460,2394,49,7291,15280,7052,5742,6188,2498,1414,2313,48495,1789,75551,1189,724,702,62188,9530,Robertson,NSW,146,36887,47817,84704
CED141,74146,77775,151922,24658,37389,38052,27598,3961,4079,8044,129930,16013,138593,7216,140993,43,1950,3228.0,1625.0,2.5,53559,32828,11785,16371,6700,1054,911,8274,4095,866,6454,4702,9600,5992,1545,2525,28,5905,13836,8328,6404,6040,2255,2009,2324,47685,1095,76677,635,469,587,64250,8112,Shortland,NSW,148,34292,54652,88944
CED142,106905,97307,204215,87388,60018,28641,12646,1555,1420,2968,90579,99956,117313,72381,131428,33,2700,5321.0,2405.0,1.9,150897,14784,17991,63022,35807,4580,6361,8126,4304,824,8140,3704,30985,17777,11183,3892,120,19787,47567,7281,6789,10201,5307,1579,3477,103749,13671,55375,3655,3409,1143,107051,17948,Sydney,NSW,149,55522,22282,77804
CED143,72669,78145,150819,27405,44984,30863,20482,392,348,740,94380,51825,120160,25534,127222,40,3300,5763.0,2708.0,2.5,95130,13602,13003,39443,19923,2551,2612,5569,3605,800,5726,3833,21800,10934,4994,1743,38,16442,27509,4786,3989,6822,3483,877,1225,66193,2133,69035,1291,815,686,68286,7768,Warringah,NSW,151,46687,31771,78458
CED144,92809,90349,183154,42580,48370,34415,20968,484,554,1031,82452,89426,54984,115098,138707,36,2167,2713.0,1733.0,2.9,92395,17583,13440,26603,12831,1673,3597,5510,2191,356,4746,3583,13356,6180,2158,2101,85,5964,14992,5287,5338,6594,3289,2454,2702,47643,9112,73205,6428,45885,884,32972,14557,Watson,NSW,251,31598,43653,75251
CED145,70021,76081,146102,36908,42073,27060,19809,330,288,618,84217,54825,111590,26271,117285,38,3500,6574.0,2817.0,2.2,99614,9814,10900,44608,22006,2187,1789,4164,3464,516,6290,2975,21859,14027,7097,1628,42,16120,32459,3617,3373,6124,3723,583,1105,68541,1883,51077,771,722,428,60395,11139,Wentworth,NSW,152,44976,26740,71716
CED146,98652,100525,199172,41004,53896,35916,15263,1751,1904,3657,100705,88235,74934,111483,167627,34,2200,2908.0,1820.0,3.3,88505,24402,13934,22087,8768,1605,3334,7645,2349,386,5443,4124,12975,5700,1394,2004,59,5915,14190,6382,5675,7588,2725,3267,2568,49299,14662,94318,12690,31811,5280,26563,13814,Werriwa,NSW,153,34667,58415,93082
CED147,82035,86507,168545,28908,41097,40323,28789,3525,3637,7158,131235,29550,143112,17493,152614,41,2080,3163.0,1777.0,2.6,59640,35920,13274,15470,7331,990,1144,8944,4289,1112,5927,4502,10480,7260,1628,3101,38,6361,12472,9560,7325,6378,2721,2713,3081,51408,1298,90593,1119,2737,708,61688,10233,Whitlam,NSW,150,35889,65042,100931
CED201,77940,81164,159103,29880,43828,36528,21336,492,527,1022,101819,52582,108159,45732,136136,40,2000,3454.0,1733.0,2.7,80120,24327,14406,24720,12172,2229,3802,9134,3683,885,6393,4608,13667,6646,2299,2695,42,8263,17865,8968,6359,7673,3412,2054,2717,58245,6881,67871,5662,2457,1888,66169,8025,Aston,VIC,197,34646,46807,81453
CED202,74181,78063,152243,27520,38179,36871,21507,1291,1347,2638,126487,17293,134667,9407,137432,41,1500,3181.0,1278.0,2.4,61430,26914,11734,17793,10040,1186,1468,6373,3694,1728,7099,5151,8383,7018,2116,2752,44,6703,14459,7868,6779,5467,2464,1849,2847,49081,1167,62821,1393,834,1294,73988,10650,Ballarat,VIC,198,36411,49979,86390
CED203,74267,78286,152555,26657,37373,38470,24146,1550,1557,3107,127644,15781,133894,9085,136879,42,1452,3172.0,1300.0,2.4,59269,27165,11665,17358,9522,1148,1097,6499,3577,1692,7756,5180,7411,7001,1912,2697,51,6222,14692,7447,6750,4974,2327,1916,3054,48075,1746,61451,901,810,971,74620,11943,Bendigo,VIC,200,35810,52233,88043
CED204,90343,88799,179139,38708,47937,36634,19312,463,542,1013,87697,82003,84612,83669,141046,37,1800,2994.0,1517.0,2.9,83201,25191,14812,20765,9955,1835,3394,9549,3384,644,5447,3836,12181,6689,1541,2830,59,6079,13279,9103,6754,7049,3054,3466,4038,53960,9435,74617,8411,24781,4217,45222,12296,Bruce,VIC,201,33152,43719,76871
CED205,94756,93729,188482,45587,51173,28569,11378,639,630,1271,93284,85251,66341,109831,145344,32,1834,2700.0,1599.0,3.2,82253,21746,14179,19831,10241,1702,3754,8091,3099,491,4829,3899,10694,6578,1240,3154,54,5033,11704,7675,7487,6297,2929,4345,3645,50211,5211,77008,11037,44950,11098,26481,12654,Calwell,VIC,203,30349,43326,73675
CED206,77906,79535,157444,28025,42274,36974,19943,866,851,1716,125122,26480,139114,12500,142751,40,1950,3506.0,1647.0,2.7,67337,31175,14286,18442,9021,1662,1583,8772,5880,2002,6387,5620,9163,7413,2624,2914,34,8348,14670,11290,7027,6450,2625,1997,3007,56279,1575,59461,792,418,998,84926,9059,Casey,VIC,204,36545,48325,84870
CED207,90099,93552,183655,41521,47694,36159,31407,237,227,470,85493,91288,84386,92059,134855,39,2400,3181.0,1907.0,2.6,111700,14714,15136,40019,25479,3616,6728,9190,2446,617,7550,4330,19597,7085,2844,2272,51,10984,27177,6246,5667,8469,4156,1826,2933,68693,13805,68402,11813,4138,2271,72495,10266,Chisholm,VIC,205,38202,37000,75202
CED208,75990,80287,156279,39666,46831,27315,19361,717,780,1499,101021,48652,99594,49861,131011,37,2100,3848.0,1651.0,2.4,90944,15247,11651,32417,20601,3178,3288,6180,3294,1004,7311,5070,12743,11145,7229,2314,45,10016,27416,6594,6105,7056,3046,1716,2641,65590,4052,59479,3853,6425,1253,71584,9255,Cooper,VIC,320,51753,25955,77708
CED209,74092,78661,152752,26838,38446,36398,23451,720,748,1467,124014,22011,135313,10675,137995,40,1820,3519.0,1733.0,2.6,69334,26476,14229,21773,10669,1623,1278,6847,5102,1505,8004,5677,9484,7167,2342,2880,41,7704,16442,8795,7286,5688,2741,1745,2818,54031,1183,65506,1373,837,1020,73212,9522,Corangamite,VIC,328,41548,43132,84680
CED210,77971,81268,159242,34180,40647,34902,21998,1211,1180,2396,120885,30472,127478,22788,137815,39,1700,3306.0,1387.0,2.4,68776,26101,12552,20898,10799,1599,1596,7149,4553,992,7904,4906,9725,7606,2415,2858,40,6633,16369,8171,7469,5676,2699,2429,3233,53535,1833,70451,2317,3268,1750,68097,11419,Corio,VIC,208,38286,44604,82890
CED211,80822,86289,167110,30129,46526,35694,25825,453,444,889,112961,49276,118998,42387,142046,40,2070,3605.0,1699.0,2.6,86787,21950,14954,29083,16341,2433,4209,8179,4016,1001,7220,5571,14765,7621,2853,2532,46,9493,22324,8124,6573,7818,3247,1557,2456,62549,5091,71009,4080,1946,1762,74514,8525,Deakin,VIC,209,39198,39387,78585
CED212,77143,80871,158012,28561,43802,34518,20912,944,950,1897,116583,33981,133390,16921,138815,40,1898,3549.0,1560.0,2.5,68772,28837,14529,18091,8220,1330,1592,7696,4847,1158,6721,5148,10496,7162,2238,2961,44,7628,14208,9614,6897,6315,3147,2017,2937,53606,1829,61405,1534,1206,937,80054,10670,Dunkley,VIC,210,35530,43377,78907
CED213,72638,77714,150355,20472,35361,42709,34294,862,768,1634,115498,25687,133808,8011,134924,48,1949,3228.0,1625.0,2.3,63533,27902,14090,17486,7788,1027,802,6210,4937,1493,5807,4850,8209,5799,1877,2837,31,7515,11988,8759,5817,4719,2595,1242,2561,45949,979,63020,282,277,447,73760,11291,Flinders,VIC,211,36233,47794,84027
CED214,88791,87592,176388,47724,49313,31857,18527,512,485,991,82238,83211,70818,93895,133631,36,1850,3107.0,1517.0,2.6,91959,17833,12192,28292,14962,2356,4205,6848,2705,615,5882,3967,13616,8169,4117,3104,64,7466,19262,6548,6433,7143,3247,3381,3833,58506,20964,65403,6279,10071,2516,57110,13892,Fraser,VIC,321,42293,31435,73728
CED215,95075,94911,189984,38511,60598,28968,14654,693,538,1238,102974,78611,102615,77173,145337,35,2100,4056.0,1699.0,2.8,98108,19802,14764,32741,20129,2605,6694,10356,3536,730,6508,4878,18039,8016,3048,3274,44,11478,23763,7916,6863,8904,3587,3645,3033,70653,5256,73005,18493,13225,6359,60839,12634,Gellibrand,VIC,212,43414,37220,80634
CED216,76298,78058,154357,24581,35175,44756,27349,1906,1912,3820,123600,18410,134378,7887,135949,46,1300,2791.0,1083.0,2.3,49471,31561,11091,12051,5551,776,649,7895,3260,1927,5623,4171,6007,5583,1012,2744,25,5658,9999,7646,6158,4446,1974,2126,3101,41855,1086,62805,631,771,818,73368,14809,Gippsland,VIC,213,25020,66906,91926
CED217,74264,80469,154736,23311,43649,36038,23978,204,181,386,102484,47290,117819,31584,133524,43,2800,4628.0,2123.0,2.5,94048,12613,13188,37119,20003,2815,3329,5891,3151,598,6914,4496,18637,8649,3618,1765,33,14929,25511,4445,4126,6725,3398,720,1279,62171,2336,62291,2901,1011,652,66449,8102,Goldstein,VIC,214,45626,34560,80186
CED218,89201,88900,178100,37670,51814,31850,13748,649,416,1069,94875,75777,78373,88841,145325,35,1900,3215.0,1647.0,3.1,84699,22588,13230,23049,9341,1821,3762,8712,3271,388,5483,4187,12881,6319,1627,3191,48,6382,14279,7867,6578,7866,3092,3746,3204,54212,10815,93846,8274,12743,6948,33062,12377,Gorton,VIC,309,32030,49360,81390
CED219,81404,83986,165389,34812,45051,30735,13857,1218,1233,2454,116711,39891,121179,35100,140712,35,1733,3367.0,1478.0,2.8,65883,29574,13050,15163,7283,1244,2183,8627,4119,965,4957,4868,9613,6809,1574,3074,51,5623,11050,9110,7468,6606,2742,3838,3162,50543,2051,76322,4142,5457,5919,59995,11413,Hawke,VIC,326,28385,49945,78330
CED220,74497,80562,155062,43333,41877,29713,21082,279,227,507,98440,50446,110412,38194,126154,37,2450,5278.0,1820.0,2.2,106322,10469,12153,45179,25400,3513,4074,5867,3237,658,9084,4309,21722,10947,5463,2107,37,14840,33871,4515,4630,7845,4075,880,1718,73567,3693,59054,5300,1767,791,68687,9317,Higgins,VIC,215,44694,27809,72503
CED221,93534,93721,187255,43209,53319,26993,11418,767,725,1491,99847,78897,98187,78879,147454,33,1900,3415.0,1647.0,3.1,80392,28216,15788,19270,9319,1565,3826,10163,3691,864,6645,3828,12297,7722,1461,3993,51,5843,12286,10211,9029,7370,3367,4987,4730,59038,8931,68159,13214,20055,10805,54345,11613,Holt,VIC,216,34089,43399,77488
CED222,98421,97169,195590,49838,51758,36719,25927,315,296,615,84215,103430,75459,110949,143656,37,2000,3012.0,1660.0,2.7,105262,19507,14578,31623,17905,3023,6023,9375,2830,594,6725,3909,16671,6920,2341,3458,92,7676,20409,8056,7148,7884,3823,3594,4936,64925,24140,74269,11461,10424,4760,55277,11638,Hotham,VIC,217,40171,39947,80118
CED223,77010,79610,156620,23333,37358,44422,27305,1594,1734,3325,129088,16367,138386,7822,140676,45,1408,3189.0,1170.0,2.3,56048,31519,12946,14808,7379,1075,736,7862,3833,2802,6915,5096,7930,6279,1330,3245,51,8068,11832,8461,7029,4986,2360,2338,3656,49494,1071,69388,922,408,800,70656,13285,Indi,VIC,218,29555,60597,90152
CED224,77828,82689,160526,28228,47250,33576,21808,361,369,732,104131,51321,111369,43368,139081,40,2167,3861.0,1759.0,2.6,83492,21142,14365,26844,12982,2289,3192,7938,3853,801,6738,5285,14743,7188,2865,2514,47,10267,20028,7881,5786,7605,3302,1648,2213,59668,5920,68293,3745,7459,1425,63965,8280,Isaacs,VIC,219,41868,39494,81362
CED225,77412,81452,158869,27768,44258,35971,22406,530,510,1039,117204,37006,122659,31331,141679,41,2167,4026.0,1733.0,2.6,86447,19595,13197,30444,18357,3095,3065,7699,3968,889,8127,5660,13657,8528,3480,2043,33,10743,24715,7343,5704,7240,2729,1254,1896,62452,2761,70295,2531,3341,920,71207,7575,Jagajaga,VIC,220,46571,37713,84284
